消耗性资产名称,编码,名称,商家/厂家/品牌,批号/编号/标识,规格型号,批次备注,验检入库编号,有效期至,来源,入库总量,入库单位,领用要求,入库备注,房间名称,箱柜屉架,隔板层数,领用出库编号,出库数量,出库单位,出库备注,库存数量,单位,备注说明1,备注说明2
尿素,J1,常规化学品,天津市致远化学试剂有限公司,/,AR500g,,XQN-250724-YZH-J1-005,,购置,500,g,常规,,203,203G-06,1,YZH-250724-XQN-J1-011,2,g,,498,g,,
脲（尿素）,J1,常规化学品,国药集团化学试剂有限公司/西陇化工股份有限公司,20150104/151101 1,AR500g,,,,购置,3,瓶,常规,,203,203G-06,1,,,,,3,瓶,,
碳酸氢钠,J1,常规化学品,国药集团化学试剂有限公司/西陇化工股份有限公司,20150114/18119 2,AR500g,,,,购置,2,瓶,常规,,203,203G-06,1,,,,,2,瓶,,
碳酸氢钠,J1,常规化学品,天津市光复精细化工研究所,20171122,50g,,,,购置,1,瓶,常规,,203,203G-06,1,,,,,1,瓶,,
无水硫酸钠,J1,常规化学品,西陇化工股份有限公司,200308 1,500g,,YZH-250625-PKF-J1-014；YZH-250626-PKF-J1-005；,,购置,6,瓶,常规,,203,203G-06,1,MYM-230720-CJF-J1-001；PKF-250625-YZH-J1-027；PKF-250626-YZH-J1-016；ZFY-250918-YZH-J1-007;,2,瓶,,4,瓶,,7.20盘点有一瓶是无水亚硫酸钠，故出库1
二水合乙酸锌,J1,常规化学品,西陇化工股份有限公司,190406 1,AR500g,,,,购置,3,瓶,常规,,203,203G-06,1,LMI-240815-CYQ-J1-001,1,瓶,,2,瓶,,
氯化钠,J1,常规化学品,西陇化工股份有限公司,181118 1,GR500g,,,,购置,1,瓶,常规,,203,203G-06,1,MYM-230317-CJF-J1-001,1,瓶,,,,,
可溶性淀粉,J1,常规化学品,西陇化工股份有限公司,190225 2,AR500g,,,,购置,1,瓶,常规,,203,203G-06,1,,,,,1,瓶,,
五水合硫代硫酸钠,J1,常规化学品,西陇化工股份有限公司,150508 2,AR500g,,,,购置,1,瓶,常规,已开,203,203G-06,1,,,,,1,瓶,,
一水合硫酸锰（硫酸锰）,J1,常规化学品,国药集团化学试剂有限公司,20150212,AR500g,,,,购置,1,瓶,常规,,203,203G-06,1,,,,,1,瓶,,
碘,J1,常规化学品,西亚试剂/西陇化工股份有限公司,F71165/181116 1,AR250g,,,,购置,2,瓶,常规,,203,203G-06,1,,,,,2,瓶,,
二水合氯化亚锡（II）(氯化亚锡）,J1,常规化学品,国药集团化学试剂有限公司,20140804,AR500g,,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
六水合硫酸铁（II）铵（硫酸亚铁铵）,J1,常规化学品,国药集团化学试剂有限公司,20140820,AR100g,,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
六水合硫酸铁（II）铵（硫酸亚铁铵）,J1,常规化学品,国药集团化学试剂有限公司,20180224,AR500g,,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
硫酸铝钾十二水合物,J1,常规化学品,艾科试剂,201903061,"AR,99.5%,500g",,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
十二水合硫酸铝钾（硫酸铝钾）,J1,常规化学品,西陇化工股份有限公司,120130 1,"AR,99.5%,500g",,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
硫酸锌（七水）,J1,常规化学品,西亚试剂,20210907,"AR,99.5%,500g",,,,购置,3,瓶,常规,,203,203G-06,2,MYM-220627-MYM-J1-002,1,瓶,,2,瓶,,
硫氰酸钠,J1,常规化学品,西陇化工股份有限公司,150428 2,AR500g,,,,购置,5,瓶,常规,,203,203G-06,2,,,,,5,瓶,,
碳酸铵,J1,常规化学品,国药集团化学试剂有限公司,20140807,AR500g,,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
氯化锶,J1,常规化学品,艾科试剂,201805171,500g,,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
硫酸镁,J1,常规化学品,西陇化工股份有限公司,181203 1,AR500g,,,,购置,1,瓶,常规,,203,203G-06,2,,,,,1,瓶,,
氢氧化铝,J1,常规化学品,国药集团化学试剂有限公司,20150127,AR500g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
无水亚硫酸钾,J1,常规化学品,国药集团化学试剂有限公司,20140513,CP500g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
聚乙烯醇磷酸铵,J1,常规化学品,天津市光复精细化工研究所,20170728,AR25g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
聚乙烯醇磷酸铵,J1,常规化学品,国药集团化学试剂有限公司,20180116,AR25g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
L（+）-抗坏血酸,J1,常规化学品,国药集团化学试剂有限公司,191128 2,100g,,,,购置,3,瓶,常规,,203,203G-06,3,MYM/QHJ0220523-J1-001；MYM-220804-MYM-J1-001；PKF-250619-XQN-J1-001；,3,瓶,最后1瓶放212柜,,,,
硫酸氧钛,J1,常规化学品,艾科试剂,201807291,AR250g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
碱式碳酸镁，五水,J1,常规化学品,国药集团化学试剂有限公司,20190214,AR250g,,,,购置,2,包,常规,,203,203G-06,3,,,,,2,包,,
硫氰酸钾,J1,常规化学品,国药集团化学试剂有限公司,20141205,AR500g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
焦硫酸钾,J1,常规化学品,国药集团化学试剂有限公司,20150109,CP500g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
十二水合硫酸铁铵,J1,常规化学品,艾科试剂,201807281,"GR,99.5%,500g",,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
结晶硫酸钠,J1,常规化学品,天津市科密欧化学试剂有限公司,20200110,GR500g,,,,购置,1,瓶,常规,,203,203G-06,3,YZH-251125-YZH-J1-006,1,瓶,,,,,
三水合乙酸铅（乙酸铅）,J1,常规化学品,国药集团化学试剂有限公司,20150109,AR250g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
无水碳酸钠,J1,常规化学品,天津市北辰方正试剂厂,/,100g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
无水碳酸钠,J1,常规化学品,西陇化工股份有限公司,180108 1,AR500g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
无水碳酸钠,J1,常规化学品,国药集团化学试剂有限公司,20150114,500g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
吡咯烷二硫代氨基甲酸铵,J1,常规化学品,上海三爱思试剂有限公司,20180619,AR25g,,,,购置,2,瓶,常规,,203,203G-06,3,,,,,2,瓶,,
香柏油（人造）,J1,常规化学品,中国上海标本模型厂,20161016,25ml,,,,购置,2,瓶,常规,,203,203G-06,3,,,,,2,瓶,,
亚甲基蓝,J1,常规化学品,天津市致远化学试剂有限公司,20190220,AR25g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
二氧化硅,J1,常规化学品,国药集团化学试剂有限公司,20141029,AR500g,,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
活性炭26-35目,J1,常规化学品,国药集团化学试剂有限公司,20180711,"色谱用,100g",,,,购置,1,瓶,常规,,203,203G-06,3,,,,,1,瓶,,
二水合硫酸钙（硫酸钙）,J1,常规化学品,西陇化工股份有限公司,150408 3,AR500g,,,,购置,1,瓶,常规,原名字写错,203,203G-06,4,,,,,1,瓶,,
六偏磷酸钠,J1,常规化学品,国药集团化学试剂有限公司,20140916,CP500g,,,,购置,2,瓶,常规,,203,203G-06,4,,,,,2,瓶,,
甲酸钠.二水,J1,常规化学品,国药集团化学试剂有限公司,20141111,AR500g,,,,购置,1,瓶,常规,外面找到已放入，已开,203,203G-06,4,,,,,1,瓶,,
氢氧化铜,J1,常规化学品,国药集团化学试剂有限公司,20141009,CP500g,,,,购置,1,瓶,常规,,203,203G-06,4,,,,,1,瓶,,"251211未开封,约0.6瓶"
聚乙烯,J1,常规化学品,西亚试剂,N4963,AR500g,,,,购置,1,瓶,常规,,203,203G-06,4,,,,,1,瓶,,
一水葡萄糖复合物,J1,常规化学品,,20190214,-,,,,购置,1,瓶,常规,,203,203G-06,4,,,,,1,瓶,,
无水乙酸钠,J1,常规化学品,国药集团化学试剂有限公司,20141126,AR500g,,,,购置,1,瓶,常规,,203,203G-06,4,,,,,1,瓶,,251211约0.5瓶
焦磷酸铁,J1,常规化学品,生工生物工程（上海）股份有限公司,CC09BA0020,500g,,,,购置,1,瓶,常规,,203,203G-06,4,,,,,1,瓶,,
卵磷脂（大豆）,J1,常规化学品,科密欧,20200110,BC100g,,,,购置,1,瓶,常规,,203,203G-06,5,,,,,1,瓶,,
2500g袋装蓝色变色硅胶,J1,常规化学品,上海威盛科技发展有限公司,CG201909060013,2500g/袋,,,,购置,3,袋,常规,保质期：未开封十八个月,203,203G-06,5,YZH-251022-WYH-J1-001,1,袋,,2,袋,,
普通琼脂斜面培养基,J1,常规化学品,百思,20180813001,100g,,,,购置,1,瓶,常规,,203,203G-06,5,MYM-22090MYM-J1-004,1,瓶,,,,,
硝酸盐蛋白胨水培养基,J1,常规化学品,百思,20180801001,250g,,,,购置,1,瓶,常规,,203,203G-06,5,MYM-220907-MYM-J1-003,1,瓶,,,,,
明胶培养基,J1,常规化学品,百思,20180808001,250g,,,,购置,1,瓶,常规,,203,203G-06,5,MYM-220907-MYM-J1-001,1,瓶,,,,,
营养琼脂,J1,常规化学品,沃凯,20180907,R250g,,,,购置,1,瓶,常规,,203,203G-06,5,YZH-251014-SYY-J1-005,1,瓶,,,,,
血琼脂基础,J1,常规化学品,百思生物,20200718001,250g,,SYY-250626-PKF-J1-003,,购置,1,瓶,常规,,203,203G-06,5,PKF-250626-SYY-J1-009；YZH-250910-SYY-J1-001,1,瓶,,,,,
硅藻土,J1,常规化学品,国药集团化学试剂有限公司,20140305,CP1kg,,,,购置,1,袋,常规,,203,203G-06,5,,,,,1,袋,,
硅藻土,J1,常规化学品,西陇化工股份有限公司,1801151,CP 500g,,,,购置,2,袋,常规,,203,203G-06,5,,,,,2,袋,,
硅胶板,J1,常规化学品,青岛海洋化工厂分厂,20130806,20片/盒,,,,购置,5,盒,常规,,203,203G-06,5,,,,,5,盒,,
活性炭,J1,常规化学品,国药集团化学试剂有限公司,20140722,AR1000g,,,,购置,1,袋,常规,,203,203G-06,5,,,,,1,袋,,
活性炭（2-10目）,J1,常规化学品,/,/,"2~10目,500g",,,,购置,1,瓶,常规,,203,203G-06,5,,,,,1,瓶,,增加括号内的内容
干燥剂（5A分子筛+变色硅胶）,J1,常规化学品,上海安谱实验科技股份有限公司,P3090015,500g,,,,购置,1,瓶,常规,,203,203G-06,5,,,,,1,瓶,,增加括号内的内容
大孔径中性树脂,J1,常规化学品,江苏色可赛思树脂有限公司,/,/,,,,购置,1,袋,常规,,203,203G-06,5,,,,,1,袋,,
四丁基硫酸氢铵,J1,常规化学品,国药集团化学试剂有限公司,20141114,IPC25g,,,,购置,1,瓶,常规,,203,203G-07,1,,,,,1,瓶,,
磺胺,J1,常规化学品,国药集团化学试剂有限公司,20170822,AR100g,,,,购置,1,瓶,常规,,203,203G-07,1,,,,,1,瓶,,
盐酸肼（盐酸联氨）,J1,常规化学品,国药集团化学试剂有限公司,20140924,AR100g,,,,购置,1,瓶,常规,,203,203G-07,1,,,,,1,瓶,,
丙二酸,J1,常规化学品,国药集团化学试剂有限公司,20141121,CP100g,,,,购置,1,瓶,常规,,203,203G-07,1,,,,,1,瓶,,
氯化羟胺（盐酸羟胺）,J1,常规化学品,国药集团化学试剂有限公司,20170920/20141201,100g,,,,购置,2,瓶,常规,增加了别名,203,203G-07,1,,,,,2,瓶,,
甲基红,J1,常规化学品,国药集团化学试剂有限公司,20141203,AR25g,,,,购置,1,瓶,常规,,203,203G-07,1,,,,,1,瓶,,
"分子筛5A型（钙-A型分子筛）,φ3~5mm",J1,常规化学品,国药集团化学试剂有限公司,20190725,"球状,1kg",,,,购置,1,瓶,常规,,203,203G-07,1,,,,,1,瓶,,
三氧化二钴,J1,常规化学品,上海凤舜精细化工有限公司,141105,AR100g,,,,购置,1,瓶,常规,,203,203G-07,1,,,,,1,瓶,,
LHG（培养基）,J1,常规化学品,艾科试剂,201806121,"AR,99.5%,100g",,,,购置,1,瓶,常规,增加了别名,203,203G-07,1,,,,,1,瓶,,
氨基磺酸钠,J1,常规化学品,梯希爱（上海）化成工业发展有限公司,P1346269,"＞98%,25g",,,,购置,1,瓶,常规,,203,203G-07,1,,,,,1,瓶,,
L-谷氨酸,J1,常规化学品,国药集团化学试剂有限公司,20141022,BR100g,,,,购置,1,瓶,常规,名字少L,203,203G-07,1,,,,,1,瓶,,
"N,N二甲基对苯二胺二盐酸盐",J1,常规化学品,上海展云化工,180620,AR25g,,,,购置,1,瓶,常规,,203,203G-07,1,MYM-220627-MYM-J1-001,1,瓶,,,,,
"切片石蜡,48~50℃",J1,常规化学品,国药集团化学试剂有限公司,20150121,500g,,,,购置,1,盒,常规,,203,203G-07,1,,,,,1,盒,,
氯化钾,J1,常规化学品,西陇化工股份有限公司,180713 1,AR500g,,,,购置,4,瓶,常规,,203,203G-07,1,MYM-221215-CJF-J1-001,1,瓶,,3,瓶,,
氯化铵,J1,常规化学品,西陇化工股份有限公司,180829 1,AR500g,,,,购置,2,瓶,常规,,203,203G-07,1,,,,,2,瓶,,
丙烯基硫脲,J1,常规化学品,天津威一化工科技有限公司,20180606,AR100g,,,,购置,1,瓶,常规,,203,203G-07,1,,,,,1,瓶,,
磷酸二氢钾,J1,常规化学品,西陇化工股份有限公司,180906 2,AR500g,,,,购置,2,瓶,常规,,203,203G-07,1,,,,,2,瓶,,
二乙基二硫代氨基甲酸银盐,J1,常规化学品,上海润捷化学试剂有限公司,20140831,"指示剂,5g",,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
二甲酚橙,J1,常规化学品,国药集团化学试剂有限公司,20150113,AR5g,,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
"硫酸铈,四水",J1,常规化学品,国药集团化学试剂有限公司,20150206,AR25g,,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,251211开封0.2瓶
对二甲氨基亚苄罗丹宁(玫瑰红银试剂）,J1,常规化学品,上海三爱思试剂有限公司,20150518/,AR25g,,,,购置,2,瓶,常规,增加了别名，一瓶已开,203,203G-07,3,,,,,2,瓶,,
苯羟乙酸（扁桃酸）,J1,常规化学品,国药集团化学试剂有限公司,20141121,"≥99%,25g",,,,购置,1,瓶,常规,增加了别名,203,203G-07,2,,,,,1,瓶,,
结晶紫,J1,常规化学品,永华化学科技（江苏）有限公司,20160509,AR25g,,,,购置,1,瓶,常规,,203,203G-07,2,PXQ-250516-YZH-J1-001,1,瓶,,0,瓶,,
硫代乙酰胺,J1,常规化学品,国药集团化学试剂有限公司,20141229,AR25g,,,,购置,1,瓶,常规,,203,203G-07,2,MYM-230516-CJF-J1-004,1,瓶,,,,,
对二氯苯,J1,常规化学品,西亚试剂,H26547,"GCS,99.5%,5g",,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
盐酸副品红,J1,常规化学品,阿拉丁,G1628074,25g,,,,购置,2,瓶,常规,,203,203G-07,2,MYM-220118-WJS-J1-001,1,瓶,,1,瓶,,
肌酐,J1,常规化学品,国药集团化学试剂有限公司,20190222,BR25g,,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
钛铁试剂,J1,常规化学品,国药集团化学试剂有限公司,20181224,AR25g,,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,251211约0.2瓶
二氧化硒,J1,常规化学品,西陇化工股份有限公司,150503 2,AR100g,,,,购置,2,瓶,常规,,203,203G-07,3,,,,,2,瓶,,
二苯氨基脲,J1,常规化学品,西亚试剂,20190217,"AR,99%,25g",,XQN-250703-PKF-J1-005；XQN-250724-YZH-J1-007,,购置,25,g,常规,,203,203G-07,2,PKF-250703-XQN-J1-005；YZH-250724-XQN-J1-013,5.5,g,,19.5,g,,
间苯二酚,J1,常规化学品,/,20809,"99.0%,0.25g",,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
二苄基四氯苯酚,J1,常规化学品,/,00121,"98%,0.1g",,,,购置,1,瓶,常规,,203,203G-07,5,,,,,1,瓶,,
（双甲酮）醛试剂,J1,常规化学品,国药集团化学试剂有限公司,20140210,CP50g,,,,购置,1,瓶,常规,增加了别名,203,203G-07,2,,,,,1,瓶,,
碱蓝6B,J1,常规化学品,成都艾科达化学试剂有限公司,201806101,IND10g,,,,购置,1,瓶,常规,,203,203G-07,3,,,,,1,瓶,,
邻苯二甲酸氢钾,J1,常规化学品,永华化学科技（江苏）有限公司,20160304,PT50g,,XQN-250627-PKF-J1-005,,购置,1,瓶,常规,,203,203G-07,3,PKF-250627-XQN-J1-006,,,,1,瓶,,
沙黄,J1,常规化学品,天津市光复精细化工研究所,/,"指示剂,25g",,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
"邻菲罗啉（1,10-菲啰啉）",J1,常规化学品,科密欧,20200110,GR5g,,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
酚试剂,J1,常规化学品,天津市光复精细化工研究所,20180628,AR5g,,,,购置,2,瓶,常规,实际有的,203,203G-07,2,MYM-220118-WJS-J1-002,1,瓶,,1,瓶,,
巴比妥酸.二水,J1,常规化学品,国药集团化学试剂有限公司,20150104,CP25g,,,,购置,3,瓶,常规,原来写的1瓶,203,203G-07,2,,,,,3,瓶,,
双硫腙,J1,常规化学品,国药集团化学试剂有限公司,20141110,AR5g,,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
溴甲酚绿,J1,常规化学品,国药集团化学试剂有限公司,20141120,"指示剂,10g",,,,购置,1,瓶,常规,,203,203G-07,3,,,,,1,瓶,,
姜黄素,J1,常规化学品,国药集团化学试剂有限公司,20141202,AR5g,,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
四苯硼钠,J1,常规化学品,江苏强盛功能化学股份有限公司,20150401,AR10g,,,,购置,1,瓶,常规,,203,203G-07,5,,,,,1,瓶,,
酚酞,J1,常规化学品,上海埃彼化学试剂有限公司,20180707,AR25g,,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
酚酞,J1,常规化学品,上海润捷化学试剂有限公司,20150301,AR25g,,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
酚酞,J1,常规化学品,西陇化工股份有限公司,150506 2,"指示剂,25g",,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
变色酸,J1,常规化学品,国药集团化学试剂有限公司,20150106,CP25g,,,,购置,1,瓶,常规,,203,203G-07,3,,,,,1,瓶,,
1-苯基3-甲基5-吡唑啉酮,J1,常规化学品,国药集团化学试剂有限公司,20181206,CP100g,,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
1-苯基3-甲基5-吡唑啉酮,J1,常规化学品,艾科,201903091,99.0% 100g,,,,购置,1,瓶,常规,,203,203G-07,2,CJF-230817-QYT-J1-001,1,瓶,,,,,
1-苯基3-甲基5-吡唑啉酮,J1,常规化学品,西亚,M30938,"西亚,AR25g",,,,购置,1,瓶,常规,,203,203G-07,2,ZHD-231211-WWY-J1-001,1,瓶,,,,,
1-苯基3-甲基4-甲苯酰基-吡唑啉酮-5,J1,常规化学品,国药集团化学试剂有限公司,20141201,"国药,AR25g",,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,名字更正
N-丙烯基硫脲,J1,常规化学品,上海润捷化学试剂有限公司,20140930,"化学纯,100g",,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
溴酚蓝,J1,常规化学品,天津市河东区红岩试剂厂,20070817,AR25g,,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
N-氨基甲酰甲基乙磺酸,J1,常规化学品,/,P1005712,25g,,,,购置,1,瓶,常规,,203,203G-07,5,,,,,1,瓶,,
L-半胱氨酸盐酸盐,J1,常规化学品,/,/,0.98,,,,购置,1,瓶,常规,,203,203G-07,5,,,,,1,瓶,,251211未开封约0.2瓶
桑色素,J1,常规化学品,/,BCBH2593V,AR5g,,,,购置,1,瓶,常规,,203,203G-07,2,,,,,1,瓶,,
硅胶,J1,常规化学品,上海润捷化学试剂有限公司,20131030/20140930/20141130,"FCP,100~200目,500g",,,,购置,20,瓶,常规,,203,203G-07,3,,,,,20,瓶,,
聚四氟乙烯,J1,常规化学品,西亚试剂,I3498,100g,,,,购置,1,瓶,常规,,203,203G-07,3,,,,,1,瓶,,
石英砂,J1,常规化学品,上海润捷化学试剂有限公司,20141130,AR500g,,,,购置,2,瓶,常规,,203,203G-07,3,,,,,2,瓶,,
柠檬酸,J1,常规化学品,上海埃彼化学试剂有限公司,F20170928,AR500g,,,,购置,1,瓶,常规,,203,203G-07,3,,,,,1,瓶,,
三硅酸镁,J1,常规化学品,上海润捷化学试剂有限公司,20140530,CP250g,,,,购置,2,瓶,常规,,203,203G-07,3,,,,,2,瓶,,
氯化亚铜,J1,常规化学品,艾科试剂,201807021,98% 500g,,,,购置,1,瓶,常规,,203,203G-07,3,,,,,1,瓶,,
单硬脂酸甘油酯,J1,常规化学品,上海埃彼化学试剂有限公司,F20180509,AR250g,,,,购置,1,瓶,常规,,203,203G-07,3,,,,,1,瓶,,
无水亚硫酸钠,J1,常规化学品,国药,20141121,AR500g,,,,购置,1,瓶,常规,已开,203,203G-07,3,MYM-220916-WXY-J1-001,1,瓶,,,,,
乙酸铵,J1,常规化学品,国药,20190430,AR500g,,XQN-250725-YZH-J1-028,,购置,8,瓶,常规,,203,203G-07,4,MYM/-220124-WJS-J2-001；YZH-250725-XQN-J1-001,1.05,瓶,,6.95,瓶,,
硅酸钠,J1,常规化学品,艾科试剂,201810151,"AR,19.3%~22.8%,500g",,,,购置,1,瓶,常规,,203,203G-07,4,,,,,1,瓶,,
十二烷基苯磺酸钠,J1,常规化学品,西亚试剂,20190125,"GR,98%,500g",,,,购置,1,瓶,常规,,203,203G-07,4,,,,,1,瓶,,
L（+）-酒石酸,J1,常规化学品,国药,20150104,500g,,,,购置,1,瓶,常规,已开,203,203G-07,4,MYM-230111-CJF-J1-001,1,瓶,,,,,
乙二胺四乙酸二钠,J1,常规化学品,西陇科学（化工）,1802031,500g,,,,购置,1,瓶,常规,有1瓶是500克的，已开,203,203G-07,4,MYM-220808-MYM-J1-001,1,瓶,,,,,
乙二胺四乙酸二钠,J1,常规化学品,西陇科学（化工）,1901211,AR250g,,SYY-250627-PK-J1-007,,购置,1,瓶,常规,,203,203G-07,4,PKF-250627-SYY-J1-014,0.0008,瓶,,0.9992,瓶,,
氟罗里硅土,J1,常规化学品,麦克林,C11482961,60-100目,,,,购置,1,瓶,常规,,203,203G-07,4,,,,,1,瓶,,
四水合酒石酸钾钠（酒石酸钾钠）,J1,常规化学品,西陇科学（化工）,1912041,AR500g,,,,购置,8,瓶,常规,,203,203G-07,4,QYT-230808-CJF-J1-001、ZHD-231226-WWY-J2-001,2,瓶,,6,瓶,,
新华牌121℃压力蒸汽灭菌化学指示卡,J1,常规化学品,山东新华医疗器械股份有限公司,20D16,200片/盒,,,,购置,1,盒,常规,,203,203G-07,5,,,,,1,盒,,
新华牌132℃压力蒸汽灭菌化学指示卡,J1,常规化学品,山东新华医疗器械股份有限公司,20A08,200片/盒,,,,购置,2,盒,常规,,203,203G-07,5,,,,,2,盒,,
新华牌压力蒸汽灭菌化学指示胶粘带,J1,常规化学品,山东新华医疗器械股份有限公司,19N09,19mm*50m,,,,购置,2,盒,常规,,203,203G-07,5,,,,,2,盒,,
乙二胺四乙酸,J1,常规化学品,天津市致远化学试剂有限公司,20161206,AR250g,,,,购置,1,瓶,常规,避光,203,203G-07,5,,,,,1,瓶,,
（铜试剂）二乙基二硫代氨基甲酸钠,J1,常规化学品,西亚化学,20190208,"AR,99%,25g",,,,购置,1,瓶,常规,已开，避光,203,203G-07,5,,,,,1,瓶,,
甲亚胺,J1,常规化学品,科密欧,20170914,AR10g,,,,购置,1,瓶,常规,名字写的钾，避光,203,203G-07,5,,,,,1,瓶,,
二乙烯三胺五乙酸,J1,常规化学品,光复化工,20170921,AR25g,,,,购置,2,瓶,常规,避光,203,203G-07,5,,,,,2,瓶,,
钙红,J1,常规化学品,天津市恒兴化学试剂制造有限公司,20170520,10g,,,,购置,1,瓶,常规,避光,203,203G-07,5,,,,,1,瓶,,
亚铁氰化钾,J1,常规化学品,天津市鼎盛鑫化工有限公司,20171018,AR500g,,,,购置,1,瓶,常规,避光,203,203G-07,5,,,,,1,瓶,,
硫酸铵,J1,常规化学品,上海凌峰化学试剂有限公司,20160918,AR500g,,,,购置,1,瓶,常规,避光,203,203G-07,5,,,,,1,瓶,,
二苯基炭酰二肼,J1,常规化学品,润捷化学,20141130,25g,,,,购置,1,瓶,常规,已开，避光,203,203G-07,5,,1,瓶,,,,,之前出库未记录
十二烷基硫酸钠,J1,常规化学品,埃彼化学,F20170928,AR500g,,,,购置,1,瓶,常规,避光,203,203G-07,5,,,,,1,瓶,,
"1-氨基-8-萘酚-3,6-二磺酸",J1,常规化学品,上海毕得医药科技有限公司,/,"97%,10g",,,,购置,1,瓶,常规,避光,203,203G-07,5,,,,,1,瓶,,
甲酚红,J1,常规化学品,天津市鼎盛鑫化工有限公司,20170916,AR25g,,,,购置,1,瓶,常规,避光,203,203G-07,5,,,,,1,瓶,,
盐酸萘乙二胺,J1,常规化学品,阿拉丁,D530060,AR10g,,SYY-250625-PKF-J1-009；SYY-250626-PKF-J1-004；SYY-250627-PKF-J1-006,,购置,10,g,常规,避光,203,203G-07,5,PKF-250625-SYY-J1-019；PKF-250626-SYY-J1-010；PKF-250627-SYY-J1-010；YZH-250914-SYY-J2-004,10,g,,,,,
米吐尔,J1,常规化学品,西亚试剂,20190329,"AR,99%,100g",,,,购置,1,瓶,常规,避光,203,203G-07,5,,,,,1,瓶,,
纳氏试剂,J1,常规化学品,基准化学试剂,20211028,500ml,,,,购置,1,瓶,常规,原来写的2瓶，避光,203,203G-08,2,MYM-220706-MYM-J1-001,1,瓶,,,,,
三乙醇胺,J1,常规化学品,凌峰化学,20150319,500ml,,,,购置,1,瓶,常规,已开，避光,203,203G-08,2,MYM-220829-MYM-J1-001,1,瓶,,,,,
纳氏试剂,J1,常规化学品,天津天禾,20190907,500ml,,,,购置,1,瓶,常规,,203,203G-08,2,MYM-220725-MYM-J1-004,1,瓶,,,,,
蓖麻油,J1,常规化学品,埃彼化学,F20171010,AR500ml,,,,购置,1,瓶,常规,避光,203,203G-03,1,,,,,1,瓶,,
液体石蜡,J1,常规化学品,埃彼化学,F20171116,CP500ml,,,,购置,1,瓶,常规,避光,203,203G-03,1,,,,,1,瓶,,
曲拉通X-100,J1,常规化学品,西陇科学（化工）,150427 3,CP500ml,,,,购置,1,瓶,常规,,203,203G-03,1,,,,,1,瓶,,
二甲亚砜,J1,常规化学品,国药,20150104,AR500ml,,,,购置,1,瓶,常规,,203,203G-03,1,,,,,1,瓶,,
苯甲醇,J1,常规化学品,艾科试剂,201808201,AR500ml,,,,购置,2,瓶,常规,名字写的2018，避光,203,203G-03,1,,,,,2,瓶,,
三乙酸甘油酯,J1,常规化学品,国药,20141010,AR500ml,,,,购置,1,瓶,常规,,203,203G-03,1,,,,,1,瓶,,
